neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
39,2,3,12,360,30
43,1,2,327,310,223
73,2,2,8,358,40
43,1,2,327,260,252
70,0,3,13,365,45
46,0,1,9,358,50
54,0,1,6,365,89
1,0,1,6,290,100
28,1,1,12,45,6419
15,1,3,9,46,88
21,0,2,8,349,65
25,0,1,8,359,139
1,0,1,7,67,325
6,0,1,15,305,45
6,0,1,15,285,55
71,0,1,15,304,300
6,2,1,17,85,33
25,0,1,5,355,60
83,1,2,5,168,95
37,0,1,6,364,55
56,1,1,5,326,76
1,0,1,5,236,100
44,0,1,7,59,50
106,0,1,5,358,149
73,2,2,10,342,20
4,0,1,10,161,43
73,2,1,5,351,45
13,0,8,5,280,44
34,0,1,17,355,139
6,1,3,7,226,165
49,1,3,5,62,165
14,0,1,5,292,85
81,0,1,6,355,49
6,0,5,6,83,68
63,0,1,5,183,70
25,1,1,7,5,200
37,0,7,12,171,50
37,0,3,12,65,55
43,0,2,327,280,375
129,0,3,9,348,69
68,1,1,5,312,189
192,0,1,5,229,62
1,1,3,12,0,339
144,1,3,10,337,168
37,0,1,9,360,75
28,1,1,7,342,299
112,0,5,5,128,69
6,0,2,34,305,49
6,0,2,34,308,49
28,0,3,5,213,89
21,0,4,7,149,65
43,1,2,327,304,214
18,0,3,8,282,90
83,0,2,6,66,45
18,0,1,9,324,100
2,0,3,8,341,57
20,0,1,33,365,119
15,0,2,5,352,109
200,1,2,7,167,128
23,2,14,28,320,35
147,0,2,5,191,49
19,0,1,5,317,260
43,1,2,327,314,247
6,2,2,34,362,37
7,2,1,8,199,65
1,1,2,13,276,260
6,0,15,11,189,48
11,1,2,5,319,210
37,0,1,9,353,95
12,0,2,5,211,90
22,0,2,5,47,68
41,0,4,6,197,33
70,1,1,6,177,249
6,1,1,9,134,139
20,1,3,28,81,199
4,2,1,7,89,55
7,0,7,47,357,55
21,0,1,8,179,58
162,2,1,8,351,25
152,0,1,7,163,75
7,0,1,6,283,145
27,1,1,10,300,393
2,0,7,8,324,52
28,0,4,9,17,69
21,0,2,10,359,67
124,0,3,5,212,38
5,1,2,327,125,282
121,0,2,6,254,25
30,1,1,6,154,120
7,0,1,12,267,110
86,0,4,8,347,34
15,0,1,12,65,62
55,0,2,6,340,36
21,0,1,26,179,55
4,2,2,9,12,49
162,2,1,8,346,24
33,1,1,5,365,150
27,0,1,7,331,100
29,0,1,13,0,250
7,0,1,12,241,105
7,2,1,7,33,99
112,0,7,5,145,50
3,1,2,6,199,248
70,0,1,6,180,119
124,0,2,5,311,40
34,0,1,17,363,119
2,0,1,9,275,100
7,1,5,8,43,229
49,0,2,5,301,50
79,0,1,8,146,43
87,0,1,10,106,55
4,0,6,6,230,399
69,0,4,5,0,63
1,0,3,12,365,269
1,1,3,49,222,737
48,1,1,33,348,179
1,1,1,17,221,163
103,0,1,5,162,55
49,1,6,8,275,187
10,1,3,5,41,169
6,0,2,7,71,72
43,0,7,13,323,169
7,2,1,9,347,69
44,0,1,7,45,50
42,0,2,5,311,42
34,0,1,17,364,169
81,0,1,5,35,49
162,2,1,8,332,24
4,0,1,10,359,55
25,0,1,9,301,58
193,1,2,6,125,99
70,0,3,13,79,35
43,0,7,13,344,169
43,1,2,327,293,256
100,1,3,5,83,210
71,0,1,9,311,100
5,1,2,327,159,254
37,0,1,5,90,65
103,0,1,5,89,60
21,0,2,26,309,36
20,0,3,28,60,249
7,2,1,7,365,77
56,0,1,5,100,55
43,1,2,327,335,229
19,1,1,5,317,396
37,0,2,7,35,200
83,1,2,6,336,79
70,0,3,13,90,45
1,0,1,5,353,358
6,2,1,34,365,39
21,0,1,5,227,85
43,1,2,327,285,230
200,1,3,7,169,98
21,0,1,5,166,48
6,0,3,6,27,62
24,0,1,7,45,55
19,1,1,5,97,369
6,0,1,8,27,54
43,1,2,327,294,248
6,0,3,6,158,78
173,0,1,5,179,60
6,0,15,11,331,45
79,0,1,8,140,55
6,2,15,14,0,35
71,0,1,15,296,100
29,0,1,13,290,85
30,1,3,6,46,250
12,0,2,5,193,95
43,1,2,327,289,396
79,0,2,5,262,65
21,0,1,8,177,60
4,2,2,9,5,49
193,1,1,6,364,450
79,0,1,8,130,51
68,1,1,5,335,200
21,0,1,26,250,45
1,1,2,13,286,220
29,1,1,12,20,2103
7,0,4,6,140,99
14,1,1,6,364,4160
37,0,1,6,90,99
43,1,2,327,337,229
48,1,1,33,187,179
83,1,2,6,36,69
71,0,1,7,364,339
129,1,3,6,8,145
15,0,1,12,102,72
20,1,1,33,364,399
7,0,7,47,360,55
17,0,1,7,258,49
2,0,1,6,41,109
37,0,1,5,15,40
14,0,1,9,319,100
1,0,1,5,349,358
23,2,14,28,322,35
27,1,1,12,23,1306
21,0,1,6,1,38
55,0,2,6,299,35
37,0,1,9,365,80
6,0,15,11,354,40
43,1,2,327,319,236
14,1,1,6,364,6800
25,1,1,10,341,299
6,0,1,15,307,55
111,0,1,6,180,69
11,0,1,5,329,999
94,0,1,18,355,135
6,0,2,6,164,81
7,2,1,7,225,75
6,0,2,5,358,100
124,0,2,5,346,50
82,0,1,5,193,30
73,1,1,8,334,350
25,0,1,9,273,35
1,0,2,13,263,198
43,1,3,5,107,209
149,0,1,5,32,55
114,2,1,8,73,28
21,0,2,10,362,60
7,0,7,47,238,100
90,2,9,12,0,18
1,0,1,11,179,375
6,0,2,7,66,69
37,0,1,8,76,60
28,0,3,9,8,95
71,0,3,5,226,125
71,0,1,15,336,100
21,0,1,5,222,90
43,0,2,327,332,258
20,0,3,28,60,349
21,2,1,7,82,25
23,2,14,28,321,35
43,1,2,327,310,404
37,0,2,10,365,43
43,1,2,327,346,229
43,1,2,327,316,472
2,1,1,5,247,121
13,2,2,5,0,41
37,0,1,6,126,75
162,2,2,8,346,25
37,0,1,6,163,80
15,1,4,9,65,399
6,2,3,34,361,36
114,2,1,8,351,28
21,0,1,26,365,50
183,0,15,5,356,50
73,1,3,5,365,99
43,1,2,327,273,377
3,1,1,11,365,4500
7,0,7,47,365,75
2,0,2,9,365,69
15,0,1,10,33,39
1,0,1,14,349,375
43,1,2,327,355,229
110,0,4,7,334,30
100,0,3,5,86,70
34,0,1,8,364,160
55,0,2,6,360,36
114,2,1,7,64,28
54,0,7,9,364,80
12,0,3,5,0,110
152,0,1,8,335,100
6,0,1,5,162,35
43,1,2,327,319,230
20,0,1,7,54,99
22,1,4,5,84,125
39,0,1,5,88,78
56,0,1,7,313,80
25,0,1,9,265,55
1,0,1,11,180,425
29,0,1,13,315,55
0,0,1,11,148,42
21,0,2,8,348,65
2,0,1,6,40,90
81,0,1,8,142,30
23,0,3,5,349,59
12,0,1,7,310,51
21,0,2,43,222,47
43,1,1,6,339,215
25,0,1,8,316,149
37,0,1,5,23,50
21,0,4,5,274,195
3,1,2,6,327,95
2,0,1,9,150,85
1,0,3,12,365,599
81,1,2,5,107,78
37,0,1,8,67,60
84,0,1,5,235,48
43,1,2,327,297,230
8,1,10,7,154,200
43,1,2,327,273,403
71,0,1,13,356,100
1,0,3,6,359,65
71,0,1,9,299,199
11,1,3,5,294,200
46,0,1,5,364,225
192,0,1,5,330,69
1,0,3,12,365,499
37,0,1,6,121,49
7,2,1,8,196,65
2,0,1,5,244,209
84,0,4,6,0,39
1,1,2,13,242,260
37,0,1,6,62,55
21,0,2,8,321,65
54,0,3,7,341,80
2,0,2,9,365,69
3,2,1,6,344,37
11,0,1,10,247,209
71,0,1,15,349,100
6,0,1,7,136,130
103,1,1,6,341,257
7,1,1,5,282,230
7,0,1,6,146,70
37,0,1,5,46,60
39,0,1,12,365,89
6,0,2,6,150,81
24,0,1,5,119,70
25,0,1,8,321,89
3,0,1,11,365,179
6,0,1,15,321,60
1,1,3,8,326,419
20,0,1,5,180,60
6,2,1,34,346,35
9,1,1,5,364,175
1,1,1,8,0,310
43,1,2,327,349,228
1,1,3,49,204,699
2,1,4,7,281,150
37,0,1,5,46,49
30,1,1,5,338,235
5,1,2,327,81,308
20,1,3,13,69,189
103,1,1,5,150,80
56,0,1,5,138,109
6,1,1,5,63,90
18,0,1,9,315,100
37,0,1,5,84,48
55,0,2,6,341,37
144,0,3,10,75,58
162,0,2,6,306,40
20,1,1,6,0,50
37,0,1,6,75,55
7,2,1,7,225,75
147,0,1,10,158,39
103,0,1,7,0,49
43,1,2,327,340,235
43,1,2,327,346,198
22,0,3,5,0,98
4,0,3,6,62,101
21,0,2,8,102,61
15,0,1,12,48,49
43,1,2,327,318,194
37,0,2,10,335,100
2,0,1,5,244,174
43,1,2,327,323,229
2,0,6,8,346,45
54,0,1,5,0,48
70,0,3,13,90,57
54,0,3,5,305,100
35,0,4,5,365,130
79,0,1,5,168,30
28,0,7,6,0,90
9,1,1,5,364,300
54,0,5,5,308,67
12,0,2,5,0,75
3,0,1,11,365,259
21,2,1,7,0,50
43,1,2,327,327,229
2,0,3,6,365,145
1,1,3,12,0,339
6,0,2,8,254,49
173,0,1,5,365,65
101,0,1,7,361,100
42,0,2,5,351,62
6,1,1,15,83,60
46,1,2,7,324,399
21,0,2,8,177,53
43,0,2,327,328,262
6,0,2,34,313,49
79,0,1,5,208,32
81,0,6,5,253,55
5,1,2,327,81,255
16,0,2,6,304,110
6,0,1,15,345,65
7,0,1,30,155,199
81,1,1,6,252,89
3,0,2,6,250,125
19,0,1,7,0,285
103,0,1,6,336,65
6,0,1,5,134,30
6,0,1,6,155,43
49,0,6,8,358,50
6,0,1,6,356,100
25,2,5,5,90,35
7,0,1,5,299,390
1,1,3,8,326,449
73,2,7,10,311,50
30,0,4,5,7,45
18,0,3,8,255,90
14,0,1,20,359,149
173,0,1,5,365,50
7,2,1,5,23,95
21,0,2,8,345,65
7,0,1,30,169,107
79,1,1,5,133,172
1,1,3,8,229,399
23,2,14,28,342,32
7,0,1,10,314,146
6,0,2,34,288,65
100,0,5,5,349,38
103,0,1,5,278,49
192,0,1,5,343,60
6,0,3,6,364,50
16,0,2,6,89,115
1,0,1,10,363,500
43,1,2,327,298,188
1,0,2,13,285,378
49,0,1,5,30,55
28,0,2,6,341,700
46,0,1,6,81,60
25,0,1,8,319,99
20,1,1,6,0,68
14,0,1,20,363,199
103,0,1,5,171,55
43,1,2,327,325,196
54,0,1,8,189,90
1,0,4,6,357,75
71,0,1,13,351,100
83,0,2,6,58,39
94,0,1,9,342,50
37,0,1,5,80,45
21,0,1,8,175,51
20,0,1,33,179,119
41,1,4,6,0,150
2,0,1,11,365,69
46,0,1,18,365,135
7,0,3,47,238,50
8,0,1,10,288,230
4,0,2,5,0,90
152,0,1,7,161,55
20,0,3,28,60,599
8,0,1,6,345,299
7,0,1,6,179,75
21,0,2,5,0,45
20,1,3,28,60,199
4,0,1,10,364,64
29,0,1,13,324,60
152,0,1,6,365,95
201,1,2,7,10,150
27,0,1,7,266,100
14,0,1,12,359,85
43,1,2,327,261,242
6,2,1,34,365,38
69,1,2,5,361,250
124,0,1,5,344,55
20,0,3,28,60,299
6,0,1,15,314,61
25,0,4,5,89,55
39,0,1,5,262,80
73,0,1,8,352,65
37,0,1,6,137,80
37,0,1,5,48,49
37,1,2,7,74,149
21,1,2,8,320,185
15,0,1,7,319,75
81,0,2,6,340,149
71,0,1,7,294,100
79,0,1,8,360,53
15,1,3,5,278,245
116,0,5,5,308,70
20,1,3,28,47,199
114,2,1,8,365,28
37,1,1,6,265,229
21,0,3,8,338,62
37,0,2,10,355,51
1,1,4,49,124,956
6,0,1,7,70,59
1,0,2,11,163,233
37,1,2,6,243,500
6,1,5,5,24,190
7,0,1,8,89,249
7,1,1,6,123,170
7,0,1,10,200,794
15,0,1,12,61,53
43,1,2,327,262,388
1,0,1,14,361,475
20,1,3,28,60,199
14,0,1,9,269,100
123,0,5,5,326,60
6,0,2,34,344,43
149,1,1,5,114,255
4,0,1,5,0,51
5,1,2,327,130,241
43,1,2,327,272,247
67,2,10,12,0,28
6,1,5,5,333,151
0,0,1,11,16,56
71,0,1,9,295,100
152,0,1,7,163,85
37,1,5,7,139,398
85,0,1,5,180,65
29,1,1,12,14,1680
25,1,3,7,34,150
6,0,2,7,58,67
21,0,1,5,332,70
79,0,2,5,232,58
43,1,2,327,234,472
106,0,1,5,361,95
22,0,2,6,287,55
5,1,2,327,58,300
79,0,2,5,224,39
144,0,3,8,180,39
70,0,7,13,252,35
49,0,1,5,32,100
152,1,1,7,68,175
94,0,1,6,365,65
27,0,1,10,23,119
70,0,3,13,365,54
6,0,1,6,173,55
110,0,2,7,286,40
64,0,1,8,0,159
58,1,1,13,364,115
71,0,1,7,296,100
2,0,5,5,0,60
21,0,13,8,14,51
94,0,1,6,0,45
43,1,2,327,276,376
0,0,1,11,23,45
70,0,3,8,360,75
21,2,1,5,365,50
5,1,2,327,113,262
1,1,3,8,316,370
20,0,1,5,349,105
43,1,2,327,351,229
70,0,7,13,239,38
11,0,1,5,321,999
111,2,5,8,365,30
12,1,2,7,330,150
89,2,3,7,37,95
66,0,3,5,365,40
46,0,1,9,360,40
70,0,7,13,258,38
43,1,2,327,254,451
73,2,3,10,281,40
46,1,1,6,83,450
1,1,1,5,301,219
43,1,2,327,338,229
173,0,1,5,365,140
2,0,5,7,154,55
1,0,1,11,176,399
43,1,2,327,299,245
9,0,14,12,89,84
21,0,1,5,270,85
34,0,1,8,365,99
20,1,3,13,71,129
14,0,1,20,168,99
70,0,7,13,116,35
48,1,1,33,179,225
144,0,3,10,89,55
37,0,3,10,358,70
27,0,1,10,120,119
21,0,2,5,167,45
15,0,5,7,278,70
26,1,1,9,287,460
56,0,1,5,300,65
6,0,3,7,225,63
21,0,3,5,254,159
8,0,1,10,284,220
2,0,5,6,24,42
6,0,15,11,325,40
14,0,1,20,365,199
6,0,1,15,188,45
25,0,1,10,357,89
71,0,1,15,328,100
47,1,7,5,365,265
43,1,1,8,322,219
24,0,1,7,58,55
56,1,2,5,86,125
7,0,1,11,240,155
48,1,1,33,179,225
2,0,1,5,309,179
63,0,2,5,205,78
6,0,1,5,243,48
43,1,2,327,349,229
6,0,1,6,164,57
39,0,1,8,297,89
157,0,5,5,343,85
15,1,3,9,72,87
20,1,3,28,60,199
6,0,2,5,0,50
158,0,2,5,355,69
7,0,1,5,290,370
1,1,3,49,204,699
86,0,4,8,285,33
2,0,1,11,364,65
2,0,6,5,0,100
112,0,3,5,96,49
6,0,15,5,342,40
21,0,1,8,177,51
23,2,14,28,322,35
6,0,3,6,178,50
81,0,1,8,156,47
7,0,1,12,241,105
1,0,1,14,365,350
157,0,5,5,365,65
21,0,2,26,302,36
43,1,2,327,284,248
6,2,1,34,365,39
6,0,2,5,168,58
22,1,2,6,191,165
63,2,3,5,236,35
46,0,2,7,0,66
67,2,7,6,343,25
6,0,1,15,236,45
86,0,4,8,316,33
162,2,1,6,365,45
24,1,2,7,110,599
15,0,5,7,308,70
1,0,1,14,357,425
11,0,1,5,334,999
6,1,3,5,363,155
4,0,3,6,332,80
103,0,1,6,325,52
103,0,1,6,352,55
43,0,1,5,0,95
39,0,2,6,355,65
7,0,1,5,346,99
14,0,1,12,360,85
6,0,2,7,147,77
2,0,1,9,365,69
6,0,2,5,125,50
1,1,3,49,206,737
94,0,1,18,309,135
103,1,1,5,0,220
3,2,1,6,350,40
6,0,15,14,0,75
2,0,3,6,365,115
4,2,1,7,90,60
7,0,1,5,292,159
79,0,1,5,1,28
15,0,5,5,129,77
20,1,3,28,84,199
56,0,1,7,253,100
37,1,3,6,256,1500
85,0,1,5,359,59
144,0,2,8,58,39
23,0,15,28,185,94
6,0,2,10,350,40
8,1,1,6,320,199
23,2,14,28,341,32
64,0,1,8,0,109
81,0,1,5,65,69
12,0,2,5,0,75
34,0,1,8,363,139
6,0,5,6,94,73
43,1,2,327,302,210
7,0,1,5,358,99
1,1,3,49,190,699
25,1,2,5,144,134
43,1,2,327,333,235
144,1,3,10,315,223
43,1,2,327,279,218
70,0,3,13,180,40
7,0,7,47,337,62
21,0,5,7,133,63
71,0,1,7,331,324
43,1,2,327,348,229
6,0,15,14,0,50
7,0,7,47,324,55
20,1,1,6,0,52
34,0,1,17,364,119
15,0,1,12,63,54
34,0,1,8,236,129
37,0,2,10,361,116
129,0,1,8,352,37
86,0,4,8,338,35
1,0,1,6,294,100
30,1,1,6,53,120
37,0,2,6,180,46
43,1,2,327,247,484
6,0,1,6,152,43
21,0,3,5,0,40
37,0,1,9,346,89
22,0,1,5,70,54
46,0,1,18,365,135
28,0,3,5,169,74
7,2,1,6,23,69
2,0,2,9,116,69
14,0,1,5,310,85
124,2,1,7,365,60
4,0,2,5,44,110
6,0,1,15,313,65
20,0,3,13,74,149
14,0,1,20,359,159
6,1,1,5,50,90
79,1,1,5,359,399
20,1,3,13,74,129
21,0,2,5,359,70
26,1,1,9,287,690
111,0,1,7,169,48
1,0,3,12,365,699
6,1,1,5,85,90
69,0,1,5,48,142
6,0,15,11,364,48
23,0,2,10,344,85
144,0,2,8,175,39
4,2,1,7,83,49
21,0,2,8,362,65
20,1,3,28,60,199
54,0,7,9,365,80
1,1,2,13,259,260
114,2,1,8,363,28
21,0,5,7,112,72
1,1,2,13,272,500
37,1,2,7,61,159
8,1,1,12,158,3613
2,0,3,7,1,55
69,1,2,5,87,105
6,0,1,6,237,50
14,0,1,12,338,85
114,2,1,7,89,28
21,0,2,5,318,45
21,0,2,5,0,0
103,0,1,5,139,33
6,0,5,6,140,72
23,2,14,28,320,35
103,1,1,7,0,149
27,1,1,8,71,89
85,0,1,5,359,59
43,1,2,327,255,498
70,0,1,5,0,58
6,0,2,34,312,49
2,0,1,5,245,64
11,1,3,5,265,250
6,0,3,7,20,86
7,2,1,6,167,75
6,0,2,34,340,60
6,1,1,9,118,155
21,0,4,6,36,37
129,1,1,8,305,48
1,0,1,10,362,300
4,2,2,9,11,65
7,2,1,9,365,85
21,0,1,5,328,50
6,2,15,14,0,30
66,0,3,5,365,45
56,0,1,5,90,115
25,2,4,5,90,40
7,0,1,6,184,70
43,0,7,13,365,169
2,0,8,6,54,40
21,0,1,26,365,50
85,0,2,5,180,59
6,2,1,17,83,30
44,0,1,7,47,60
7,2,1,7,365,79
162,2,1,8,357,28
12,0,7,5,364,200
23,2,14,28,320,35
43,1,2,327,328,227
81,0,6,5,279,58
25,1,3,7,23,160
6,2,1,34,365,36
48,1,1,33,179,225
1,0,3,12,365,699
43,1,2,327,265,495
7,0,1,5,294,410
7,0,1,5,0,149
7,0,7,47,354,55
1,0,1,13,364,100
34,0,1,17,361,129
24,0,1,5,158,70
70,0,7,13,260,35
121,0,1,6,274,45
1,1,1,17,216,153
71,0,1,13,343,100
28,1,1,11,281,140
34,0,1,8,365,149
57,1,1,7,332,155
71,0,1,7,50,300
23,0,2,5,341,78
6,2,1,34,365,36
63,1,3,6,0,88
7,2,1,8,192,69
162,2,1,6,361,37
37,0,7,12,152,60
15,0,1,8,311,75
54,0,3,5,365,70
46,0,1,6,177,60
162,1,2,6,320,79
14,0,1,12,356,85
6,0,2,10,361,50
6,2,1,17,89,24
21,0,1,6,0,38
21,0,1,6,7,38
6,0,3,7,96,80
3,2,1,6,345,45
6,0,1,15,305,60
70,1,3,8,356,81
37,0,1,6,365,99
23,0,15,28,185,73
22,0,2,6,50,62
22,0,2,5,0,72
54,0,3,7,330,75
2,0,4,8,42,45
14,0,1,5,292,82
25,0,1,5,351,59
71,0,1,7,230,100
25,0,1,8,333,119
8,1,1,6,337,190
1,1,1,5,306,229
22,0,1,5,335,38
20,0,3,28,60,249
124,0,3,5,313,40
37,0,2,7,57,45
6,1,14,5,286,68
6,0,2,5,330,87
21,0,2,10,359,60
3,0,7,6,185,98
24,0,2,6,364,40
43,0,7,13,365,169
43,1,2,327,353,228
22,0,2,6,196,68
6,0,1,6,222,0
41,1,4,6,230,289
1,1,2,11,173,276
73,0,1,8,359,65
43,1,2,327,327,230
71,0,1,7,353,379
129,0,3,9,355,89
94,0,1,6,361,120
20,1,3,28,84,199
15,0,4,7,303,65
149,0,1,5,28,55
6,0,15,11,341,48
1,0,2,13,327,252
1,1,3,12,0,269
20,1,1,6,0,119
90,2,5,12,0,22
6,2,1,17,89,27
6,0,2,34,289,65
2,0,1,5,267,199
25,0,1,10,360,99
152,0,1,8,0,49
58,1,2,13,365,105
37,0,2,6,342,47
3,0,1,11,362,279
54,0,3,5,365,89
1,1,2,13,268,672
43,0,2,327,255,616
6,0,2,5,10,50
27,1,1,10,338,240
1,1,1,6,365,820
129,0,5,6,238,45
7,0,1,8,87,249
28,0,3,9,30,69
6,0,1,5,345,30
110,0,4,7,293,34
28,0,1,5,0,99
71,0,1,7,51,200
57,0,2,7,349,75
6,2,15,14,0,35
14,0,1,12,360,85
21,0,1,6,170,69
21,0,2,5,365,82
1,1,1,6,365,1020
1,1,4,49,80,956
37,0,1,6,169,80
43,1,2,327,271,248
3,0,1,11,363,199
200,0,2,7,177,39
43,1,2,327,339,425
14,0,1,6,364,2010
200,0,2,7,177,38
49,0,7,8,309,49
20,0,1,7,38,68
49,0,1,5,310,37
28,1,1,5,287,168
34,0,1,8,364,169
147,0,1,10,32,39
21,0,1,5,324,100
30,0,1,5,185,150
54,0,1,6,365,99
44,0,1,7,64,60
129,0,1,8,273,50
49,0,1,5,19,80
25,0,1,10,350,79
83,0,2,5,150,37
54,0,3,7,320,110
56,2,1,7,313,36
111,0,1,7,350,60
55,0,2,6,320,37
24,2,1,6,207,39
1,1,2,13,263,198
12,0,1,6,325,75
1,0,1,10,363,350
71,0,1,7,63,91
54,0,1,6,365,89
34,0,1,17,338,129
129,1,5,6,121,150
15,1,3,9,91,99
6,0,3,6,180,40
43,1,2,327,331,220
7,0,1,30,334,199
43,1,2,327,328,203
6,0,2,7,170,77
7,0,1,10,333,210
43,1,2,327,343,234
160,2,4,8,365,34
54,0,5,9,89,80
43,0,1,5,161,109
34,0,1,17,355,119
200,0,2,7,177,39
2,0,1,5,238,158
67,2,7,6,321,25
7,0,7,47,328,62
172,0,2,5,355,79
37,1,2,7,67,159
1,0,1,10,345,350
39,0,1,8,319,90
25,0,1,8,319,99
14,0,7,47,358,50
37,0,1,6,365,99
37,0,1,5,79,48
79,0,1,5,273,39
162,2,2,6,365,30
6,1,3,7,3,160
158,1,1,5,342,190
46,0,1,18,365,135
54,1,2,5,21,156
7,2,1,5,22,80
71,0,1,7,351,304
70,0,3,8,361,62
114,2,1,8,88,28
6,0,2,5,164,58
7,0,1,11,305,255
28,1,1,5,339,199
6,0,2,5,342,86
31,0,2,5,88,58
1,0,1,11,178,329
110,0,4,8,316,34
33,1,1,5,152,350
111,0,1,8,0,40
2,0,5,6,11,52
71,0,1,7,358,359
30,0,3,5,17,79
23,0,15,28,185,93
4,1,1,5,40,180
0,0,1,11,88,42
43,1,2,327,333,221
1,0,3,6,364,120
126,0,3,6,256,169
6,0,2,8,268,52
7,0,1,12,194,115
43,1,2,327,284,241
46,0,1,18,365,135
6,0,2,7,165,77
2,0,4,6,0,45
43,1,2,327,341,229
81,1,1,5,110,145
23,2,14,28,322,35
21,0,2,8,218,59
20,0,1,33,180,119
6,1,1,9,20,139
71,0,1,7,362,299
21,0,2,8,344,65
124,0,1,7,179,56
7,0,1,30,347,199
6,0,3,6,57,30
43,1,2,327,319,214
27,0,1,7,270,100
54,0,3,5,365,69
58,0,2,13,364,68
7,0,1,6,161,70
4,0,2,6,173,90
21,0,1,5,148,59
21,0,1,5,345,110
7,0,7,47,352,99
77,1,1,12,0,1978
6,1,1,14,53,300
43,1,2,327,237,255
37,0,1,7,4,42
70,1,3,8,343,90
73,2,7,10,290,25
14,0,1,20,359,159
15,0,2,7,325,85
7,0,1,6,280,116
81,1,1,6,255,150
8,0,1,10,275,280
46,2,1,8,34,39
58,1,1,13,357,250
4,2,1,7,72,45
12,0,2,8,87,60
15,0,1,12,57,54
129,0,5,6,212,45
3,0,1,11,363,239
7,0,1,5,307,150
6,0,1,6,176,0
6,0,2,8,226,49
2,0,7,6,22,70
18,0,1,9,89,60
1,0,2,11,217,191
20,0,1,33,365,119
6,1,1,6,342,282
20,0,1,7,27,112
1,1,2,13,283,220
28,1,3,9,103,175
1,1,4,49,121,956
82,1,2,5,350,137
111,0,1,10,365,48
18,0,1,9,324,100
66,0,3,5,365,43
16,0,2,6,347,130
43,1,2,327,311,425
42,0,2,5,338,80
48,1,1,33,364,225
57,0,1,7,365,80
144,0,3,10,69,79
43,1,2,327,331,229
21,0,2,5,351,65
20,1,1,33,364,189
7,1,2,5,169,299
12,1,3,5,347,350
6,0,2,34,285,65
2,2,2,9,365,69
25,0,1,9,300,58
6,0,4,6,120,72
1,1,1,6,365,750
29,0,1,13,293,60
144,0,3,10,68,79
4,0,5,6,12,49
37,1,6,7,363,499
54,0,3,5,307,67
6,2,1,34,365,38
6,0,2,10,362,45
54,0,2,5,0,27
1,0,1,10,330,400
100,0,1,5,365,130
79,1,1,5,174,330
4,0,2,6,0,90
43,1,1,6,203,525
6,0,1,6,323,40
84,2,1,6,23,25
43,1,2,327,338,205
39,0,2,6,342,75
20,2,1,33,365,119
157,0,5,5,29,75
12,0,2,5,211,95
7,2,1,6,24,69
63,2,2,5,230,40
1,1,3,12,0,339
162,2,1,6,365,37
111,0,1,6,151,75
111,0,1,7,177,60
7,0,1,6,299,100
7,2,1,6,363,75
71,0,1,15,358,100
6,0,15,11,330,60
7,0,1,30,359,199
20,0,1,7,32,105
71,0,1,7,300,100
44,0,1,7,73,60
35,0,1,8,189,85
7,0,7,47,332,99
21,2,4,5,346,25
129,0,3,6,50,60
22,1,3,5,113,85
7,0,1,30,165,179
6,2,1,17,86,35
6,0,1,15,343,55
28,1,1,12,146,7703
12,0,1,5,0,90
114,2,1,8,89,60
25,0,1,9,229,55
15,1,3,5,249,530
1,1,1,6,365,1075
37,1,2,7,70,150
15,0,5,5,149,68
2,0,1,5,291,189
23,2,14,28,341,32
81,0,1,5,49,80
1,1,1,9,339,299
39,2,3,12,351,30
14,1,1,6,0,1500
21,1,2,5,358,350
160,2,5,7,365,34
101,0,1,7,348,100
34,0,1,17,362,129
111,0,1,7,364,58
7,2,1,7,357,69
2,0,5,7,314,58
7,2,1,6,365,75
5,1,2,327,76,316
39,0,1,5,123,98
11,1,3,5,308,300
26,1,1,9,298,790
124,0,2,5,342,32
172,1,2,5,354,135
6,1,1,9,118,145
81,0,1,8,175,34
71,0,1,9,278,249
43,1,2,327,343,214
7,0,1,10,333,209
6,0,5,10,360,55
20,1,3,13,74,189
7,2,1,5,19,95
29,0,1,13,339,65
49,0,1,5,29,45
2,0,1,5,281,149
1,0,1,13,352,100
21,0,2,5,359,65
56,0,2,9,283,60
84,2,4,6,16,25
173,0,1,5,180,60
43,1,2,327,340,234
7,2,1,6,325,65
6,0,2,6,249,135
114,2,1,7,71,28
24,0,1,5,359,45
43,1,2,327,350,227
56,0,1,9,322,49
37,0,7,12,120,40
28,0,1,10,81,125
7,2,1,8,206,65
21,1,2,6,241,169
1,1,1,8,0,261
21,0,2,26,311,35
7,2,1,6,362,70
0,0,1,11,42,45
73,2,1,5,351,35
73,2,2,8,32,20
6,0,2,5,213,58
30,0,1,5,315,99
6,2,1,34,360,38
69,1,2,5,86,104
70,2,1,6,180,79
116,0,3,5,318,60
45,0,3,6,0,85
149,0,1,5,29,80
103,0,1,5,347,54
58,0,2,13,364,75
25,0,1,6,347,95
103,0,1,5,73,90
43,1,2,327,340,240
15,0,1,10,218,39
70,0,3,13,90,85
20,0,1,7,16,85
71,0,1,9,317,100
19,1,1,12,215,3518
111,0,1,10,0,60
2,0,4,6,119,105
37,0,1,6,133,39
3,0,1,11,363,438
162,2,1,6,365,37
25,1,1,10,357,299
54,0,3,5,90,60
1,1,3,49,196,699
7,0,1,12,241,105
24,0,1,5,309,39
71,0,1,9,301,100
37,0,1,6,364,99
