neighbourhood,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
160,0,3,7,195,64
43,1,2,327,329,188
73,2,1,5,352,35
67,2,7,12,0,20
37,0,1,9,341,85
54,0,7,9,365,90
73,2,7,10,281,20
4,1,2,6,173,400
24,0,1,5,125,74
6,0,1,8,12,65
12,0,1,7,352,51
1,0,1,14,355,450
6,0,2,7,76,74
28,1,1,5,365,189
49,0,6,8,318,45
54,0,2,5,0,36
1,1,2,13,322,198
26,1,1,9,337,350
12,0,2,5,0,350
64,0,1,8,0,84
31,0,2,5,157,53
56,0,1,9,276,55
1,0,1,5,274,100
70,0,3,13,180,51
56,0,1,9,283,45
46,0,1,6,171,60
43,1,2,327,243,390
14,0,1,20,160,199
21,1,1,6,9,475
96,0,2,5,188,55
41,1,4,6,147,65
6,0,1,6,163,55
56,0,1,7,308,62
1,1,3,49,204,699
87,0,1,10,131,99
2,0,1,5,224,118
83,0,2,5,157,39
4,2,2,9,109,49
160,2,4,7,365,30
2,0,1,11,364,65
85,0,2,5,365,70
111,0,1,6,365,69
43,1,2,327,350,228
6,1,2,8,270,155
56,0,1,7,313,70
111,0,1,7,357,45
15,1,4,9,89,199
110,0,3,7,356,33
71,0,1,7,262,100
192,0,2,5,183,65
70,0,1,5,37,40
21,0,1,5,166,48
124,0,2,5,363,45
4,0,3,6,42,116
21,0,2,26,311,36
37,0,2,6,364,43
43,1,2,327,263,505
2,0,5,8,335,215
111,0,1,5,158,31
81,0,6,5,299,42
7,2,1,6,24,70
7,0,1,5,321,120
103,0,1,5,155,45
37,0,1,8,79,50
22,0,2,6,176,50
1,0,1,10,360,300
1,1,1,17,162,137
6,1,1,9,118,139
45,0,3,6,128,110
16,1,1,12,31,2626
73,2,1,5,342,45
33,1,1,5,365,250
67,2,10,12,0,25
49,0,1,8,320,60
7,2,1,5,23,95
15,0,1,7,322,75
111,0,1,7,180,60
22,0,2,6,177,68
90,2,12,12,0,30
1,1,2,13,279,240
25,0,1,9,281,58
7,2,1,6,365,76
21,0,3,5,40,69
43,1,2,327,317,228
129,0,3,9,359,69
28,1,1,7,352,249
12,1,2,7,317,159
1,1,3,49,204,699
28,0,3,9,50,80
1,1,3,12,0,269
6,0,2,5,201,75
37,0,1,9,362,80
0,0,1,11,7,45
22,0,5,5,67,40
49,0,1,8,129,60
12,0,1,5,0,45
1,1,3,12,0,269
2,0,6,8,324,43
37,0,2,10,359,53
7,2,1,8,204,65
58,2,1,13,318,45
39,2,2,6,344,39
6,2,1,17,85,24
83,0,2,5,126,37
29,0,1,13,313,70
53,0,15,12,80,75
79,0,1,8,240,48
67,2,5,12,0,20
6,0,2,10,363,40
86,0,4,8,315,32
64,1,1,8,3,89
63,0,2,5,210,88
22,0,1,5,62,54
3,0,1,6,345,130
15,0,2,5,0,45
144,0,2,8,81,29
43,1,2,327,317,244
43,1,2,327,263,474
1,1,2,13,266,672
21,0,9,8,135,54
37,0,1,7,331,42
67,0,2,6,318,33
43,1,2,327,295,185
54,0,1,5,77,53
7,0,1,5,164,90
6,0,1,6,288,118
111,2,5,8,365,31
1,0,1,5,269,100
37,0,1,6,363,60
57,0,2,7,349,90
2,0,7,8,326,52
144,0,3,10,83,60
8,0,1,10,252,230
1,1,1,17,224,131
7,2,1,6,174,75
24,2,1,6,245,40
20,0,1,5,160,45
5,1,2,327,111,228
111,0,1,10,365,57
20,2,1,33,180,119
11,1,2,5,56,325
37,1,6,7,174,298
37,0,1,7,71,100
1,1,3,49,204,699
111,0,1,7,180,65
85,0,1,5,359,59
41,1,4,6,152,72
1,0,1,10,10,250
14,0,1,20,358,129
14,0,1,9,324,100
23,2,14,28,322,35
6,2,2,17,85,30
34,0,1,17,358,139
21,0,2,5,112,69
21,0,2,5,339,65
1,0,2,12,365,799
71,1,5,5,82,300
21,0,1,5,189,48
8,0,1,5,157,152
20,1,3,28,56,199
7,1,3,47,352,500
111,2,1,10,352,35
6,1,1,9,134,139
6,0,2,10,353,40
0,0,1,6,365,149
43,1,2,327,355,228
24,1,1,10,220,200
2,0,8,6,299,53
178,0,2,5,333,45
21,0,2,10,352,64
116,0,2,5,305,60
20,0,1,33,365,119
7,0,7,47,332,120
4,0,1,10,365,72
12,0,1,7,343,49
54,0,3,7,245,75
6,0,2,5,47,95
52,0,1,10,226,99
103,2,1,5,80,38
6,1,3,7,319,150
6,1,3,5,308,151
21,1,2,5,342,125
2,0,1,6,0,80
46,0,1,18,355,165
28,0,2,6,351,500
6,0,1,7,68,69
20,1,3,13,72,205
6,0,3,10,333,50
20,0,1,33,365,119
124,0,2,5,344,50
37,0,7,12,134,40
37,0,1,6,126,65
43,1,2,327,323,396
43,1,1,6,323,225
52,0,1,10,245,129
4,0,2,5,22,80
54,0,1,8,189,95
39,2,3,12,350,30
37,0,2,10,346,47
103,1,1,7,81,95
37,0,2,7,0,100
14,0,1,9,245,100
129,1,5,6,338,199
37,0,2,6,180,46
135,0,1,5,150,30
1,0,1,5,322,358
24,2,2,6,365,25
124,0,1,5,0,50
31,0,2,5,125,57
43,0,7,13,365,169
7,0,7,47,321,99
7,0,1,30,360,199
6,0,2,7,362,65
6,2,2,34,343,39
5,1,2,327,99,240
34,0,1,8,236,119
15,0,1,5,252,48
7,0,1,30,166,199
6,2,1,17,78,21
39,0,1,5,0,75
7,0,1,30,363,179
1,0,1,7,50,150
1,0,1,14,351,425
7,0,1,10,275,135
1,0,1,8,311,100
1,1,3,8,343,419
94,2,1,9,361,30
103,0,1,5,166,45
14,0,1,12,344,85
2,0,1,11,364,65
23,2,14,28,201,35
71,0,1,9,299,100
76,0,1,6,153,99
1,1,2,11,192,276
20,1,1,33,364,306
13,0,8,5,284,40
8,0,1,10,281,250
46,0,1,18,362,165
20,0,1,33,365,119
100,0,3,5,361,98
6,0,1,5,153,35
14,0,1,12,355,85
76,0,1,12,0,35
7,0,7,47,348,75
54,0,7,9,151,40
14,0,1,9,324,100
12,1,2,5,90,550
6,0,1,6,232,0
15,1,3,5,275,285
20,0,3,13,53,137
7,0,3,6,130,136
43,1,2,327,302,380
1,1,2,13,304,240
37,0,1,5,85,65
4,2,1,7,83,45
15,0,1,12,39,63
70,0,3,8,340,62
6,2,1,17,87,32
37,0,1,6,362,60
7,2,2,5,188,299
162,2,1,8,351,25
37,0,1,8,78,50
37,0,1,5,365,65
15,0,1,7,340,75
19,0,1,5,318,80
54,0,3,5,365,79
15,1,4,9,87,459
54,0,1,5,0,48
1,0,1,8,0,250
24,2,1,6,211,40
46,0,1,8,145,67
2,0,5,8,332,54
81,0,1,5,172,45
21,0,4,6,79,50
43,1,2,327,347,228
4,0,5,6,6,55
19,0,1,7,328,180
54,0,1,6,365,99
43,0,2,327,329,256
111,0,1,6,360,75
20,0,3,28,60,349
7,2,1,8,198,65
6,0,2,5,339,89
210,0,1,5,94,50
14,0,1,5,309,82
7,0,7,47,342,55
110,2,1,7,2,29
23,2,14,28,341,32
21,2,1,6,28,39
37,0,1,6,157,42
2,0,11,6,95,55
6,0,5,10,356,40
43,1,2,327,327,205
7,2,1,11,306,250
1,0,4,12,365,799
5,1,2,327,83,265
0,0,1,11,28,40
6,0,1,7,59,79
6,0,1,10,260,65
12,0,1,6,272,65
6,0,1,7,67,79
19,1,1,12,0,1145
63,0,2,6,187,99
30,0,1,6,38,81
21,0,3,8,365,75
12,0,1,5,90,295
19,0,1,5,15,80
6,0,2,6,121,81
56,0,1,5,336,50
22,1,2,5,0,58
2,0,1,5,253,92
3,0,1,11,365,319
210,0,1,5,133,45
30,0,1,5,84,75
29,0,1,13,281,55
7,2,1,9,349,60
29,0,1,13,324,45
7,0,1,10,342,197
13,2,2,5,31,38
39,1,1,8,240,261
71,0,1,9,283,100
54,0,1,5,0,48
1,1,3,49,204,699
20,0,3,13,0,189
7,0,1,12,270,110
7,2,1,5,361,75
7,0,2,8,73,209
54,0,3,5,357,67
1,0,3,12,365,799
21,0,3,5,83,89
1,1,1,17,234,153
25,0,1,10,352,99
44,0,7,5,365,140
111,0,1,8,0,40
12,0,2,8,104,60
4,0,5,5,271,60
73,2,5,10,301,40
131,0,2,13,363,75
6,0,3,7,109,100
28,0,3,5,132,87
87,1,3,5,262,88
4,1,1,5,56,165
37,0,1,6,7,35
1,1,3,12,0,339
24,0,1,7,42,55
25,0,1,10,358,89
20,2,1,33,180,119
100,0,5,5,295,33
15,1,3,5,226,785
111,0,2,10,365,50
21,1,1,8,177,166
87,0,1,10,112,70
63,0,4,5,55,50
37,0,1,5,90,65
162,2,1,6,308,23
21,0,1,26,342,50
1,1,3,49,200,737
79,0,1,5,66,29
110,0,4,7,342,32
7,2,1,7,221,75
46,0,1,18,362,165
160,0,4,8,365,59
43,1,2,327,277,256
23,2,14,28,322,35
6,0,1,15,359,70
25,1,3,7,24,130
21,2,4,5,62,25
15,1,3,9,74,129
2,0,3,7,339,120
89,0,2,7,37,40
43,1,2,327,262,520
152,0,1,6,365,50
1,0,1,10,361,350
6,0,1,10,158,65
30,0,7,6,272,40
7,0,1,30,156,107
1,1,1,17,226,153
67,0,1,6,174,79
1,0,2,12,365,899
43,1,2,327,306,235
46,2,1,8,346,40
71,0,2,5,197,113
43,1,2,327,332,216
8,0,1,10,259,325
24,0,1,6,189,70
160,2,5,8,365,30
6,2,3,34,361,36
73,2,2,8,343,40
96,0,3,5,326,60
6,1,2,5,88,60
127,1,2,5,0,145
70,0,3,8,323,33
7,0,1,12,251,110
37,0,2,7,122,80
20,1,3,13,74,199
56,2,1,7,313,40
71,0,1,15,201,100
7,0,1,12,232,110
64,0,1,8,0,84
63,2,4,5,0,60
37,0,2,7,14,60
110,0,4,7,322,33
1,1,2,13,327,252
21,0,2,5,158,53
7,0,1,6,165,110
1,1,1,17,246,120
124,0,2,5,347,50
37,0,7,12,160,50
144,1,2,8,343,99
21,0,3,5,0,50
2,0,1,7,351,77
7,0,7,47,318,156
111,0,1,7,177,60
7,0,1,6,316,135
79,1,1,5,147,330
6,0,3,5,316,70
1,0,1,8,306,250
18,0,3,8,258,90
20,0,3,28,79,179
4,1,1,5,87,180
54,0,7,9,365,65
23,0,1,10,115,86
71,0,1,7,315,100
5,1,2,327,91,262
172,1,2,5,354,149
87,0,1,10,127,70
46,0,1,18,365,135
10,1,1,5,270,189
43,1,2,327,302,252
7,2,1,5,365,75
94,0,1,18,355,135
54,0,1,6,365,89
56,0,1,5,342,45
7,2,1,9,161,85
14,0,1,20,365,199
111,0,1,8,0,45
7,2,1,6,19,69
23,2,14,28,318,35
6,0,15,11,199,45
21,0,3,8,341,75
129,0,1,8,283,50
21,0,1,8,179,58
103,0,1,5,0,40
7,0,2,5,0,85
71,0,1,9,289,100
21,0,1,5,62,50
20,1,3,13,53,179
43,1,2,327,332,234
20,1,1,6,0,70
71,0,1,7,363,324
21,0,1,8,179,50
6,0,1,6,173,55
94,1,2,5,365,1000
124,0,1,7,176,58
46,0,2,7,0,50
8,0,1,5,188,163
37,0,1,8,56,50
6,0,1,6,155,46
8,0,1,10,271,305
200,0,2,7,177,39
160,2,5,7,365,29
46,0,1,18,365,135
144,1,2,8,89,178
6,0,2,5,4,50
27,1,1,8,34,89
43,0,2,327,348,264
49,0,6,8,365,50
43,1,2,327,273,408
43,1,1,8,315,650
54,0,1,8,189,525
81,0,6,5,257,58
25,0,1,10,360,79
29,0,1,13,320,70
1,1,1,5,65,365
6,0,2,10,317,40
63,2,4,5,332,35
152,0,1,6,365,90
2,0,1,5,221,164
56,0,1,5,173,60
54,0,7,9,365,70
7,2,1,7,225,75
